0.048	0 0 0.341723 0.433013 0.825381 1 1 1.15828 0.433013 0.825381 
0.049	0 0 0.341851 0.433013 0.825652 1 1 1.15815 0.433013 0.825652 
0.05	0 0 0.341979 0.433013 0.825894 1 1 1.15802 0.433013 0.825894 
0.051	0 0 0.342107 0.433013 0.82611 1 1 1.15789 0.433013 0.82611 
0.052	0 0 0.342235 0.433013 0.826303 1 1 1.15777 0.433013 0.826303 
0.053	0 0 0.342362 0.433013 0.826475 1 1 1.15764 0.433013 0.826475 
0.054	0 0 0.342488 0.433013 0.826629 1 1 1.15751 0.433013 0.826629 
0.055	0 0 0.342613 0.433013 0.826765 1 1 1.15739 0.433013 0.826765 
0.056	0 0 0.342737 0.433013 0.826887 1 1 1.15726 0.433013 0.826887 
0.057	0 0 0.342859 0.433013 0.826996 1 1 1.15714 0.433013 0.826996 
0.058	0 0 0.342979 0.433013 0.827093 1 1 1.15702 0.433013 0.827093 
0.059	0 0 0.343098 0.433013 0.827179 1 1 1.1569 0.433013 0.827179 
0.06	0 0 0.343215 0.433013 0.827255 1 1 1.15679 0.433013 0.827255 
0.061	0 0 0.343329 0.433013 0.827323 1 1 1.15667 0.433013 0.827323 
0.062	0 0 0.343442 0.433013 0.827384 1 1 1.15656 0.433013 0.827384 
0.063	0 0 0.343552 0.433013 0.827438 1 1 1.15645 0.433013 0.827438 
0.064	0 0 0.343661 0.433013 0.827485 1 1 1.15634 0.433013 0.827485 
0.065	0 0 0.343767 0.433013 0.827528 1 1 1.15623 0.433013 0.827528 
0.066	0 0 0.343871 0.433013 0.827565 1 1 1.15613 0.433013 0.827565 
0.067	0 0 0.343972 0.433013 0.827598 1 1 1.15603 0.433013 0.827598 
0.068	0 0 0.344071 0.433013 0.827628 1 1 1.15593 0.433013 0.827628 
0.069	0 0 0.344169 0.433013 0.827653 1 1 1.15583 0.433013 0.827653 
0.07	0 0 0.344263 0.433013 0.827676 1 1 1.15574 0.433013 0.827676 
0.071	0 0 0.344356 0.433013 0.827697 1 1 1.15564 0.433013 0.827697 
0.072	0 0 0.344446 0.433013 0.827714 1 1 1.15555 0.433013 0.827714 
0.073	0 0 0.344534 0.433013 0.82773 1 1 1.15547 0.433013 0.82773 
0.074	0 0 0.34462 0.433013 0.827744 1 1 1.15538 0.433013 0.827744 
0.075	0 0 0.344704 0.433013 0.827756 1 1 1.1553 0.433013 0.827756 
0.076	0 0 0.344785 0.433013 0.827766 1 1 1.15521 0.433013 0.827766 
0.077	0 0 0.344864 0.433013 0.827776 1 1 1.15514 0.433013 0.827776 
0.078	0 0 0.344942 0.433013 0.827784 1 1 1.15506 0.433013 0.827784 
0.079	0 0 0.345017 0.433013 0.827791 1 1 1.15498 0.433013 0.827791 
0.08	0 0 0.34509 0.433013 0.827797 1 1 1.15491 0.433013 0.827797 
0.081	0 0 0.345161 0.433013 0.827802 1 1 1.15484 0.433013 0.827802 
0.082	0 0 0.34523 0.433013 0.827807 1 1 1.15477 0.433013 0.827807 
0.083	0 0 0.345297 0.433013 0.827811 1 1 1.1547 0.433013 0.827811 
0.084	0 0 0.345363 0.433013 0.827814 1 1 1.15464 0.433013 0.827814 
0.085	0 0 0.345426 0.433013 0.827817 1 1 1.15457 0.433013 0.827817 
0.086	0 0 0.345487 0.433013 0.82782 1 1 1.15451 0.433013 0.82782 
0.087	0 0 0.345547 0.433013 0.827822 1 1 1.15445 0.433013 0.827822 
0.088	0 0 0.345605 0.433013 0.827824 1 1 1.15439 0.433013 0.827824 
0.089	0 0 0.345661 0.433013 0.827826 1 1 1.15434 0.433013 0.827826 
0.09	0 0 0.345716 0.433013 0.827827 1 1 1.15428 0.433013 0.827827 
0.091	0 0 0.345768 0.433013 0.827829 1 1 1.15423 0.433013 0.827829 
0.092	0 0 0.345819 0.433013 0.82783 1 1 1.15418 0.433013 0.82783 
0.093	0 0 0.345869 0.433013 0.827831 1 1 1.15413 0.433013 0.827831 
0.094	0 0 0.345917 0.433013 0.827832 1 1 1.15408 0.433013 0.827832 
0.095	0 0 0.345963 0.433013 0.827833 1 1 1.15404 0.433013 0.827833 
0.096	0 0 0.346008 0.433013 0.827833 1 1 1.15399 0.433013 0.827833 
0.097	0 0 0.346051 0.433013 0.827834 1 1 1.15395 0.433013 0.827834 
0.098	0 0 0.346093 0.433013 0.827835 1 1 1.15391 0.433013 0.827835 
0.099	0 0 0.346134 0.433013 0.827835 1 1 1.15387 0.433013 0.827835 
0.1	0 0 0.346173 0.433013 0.827836 1 1 1.15383 0.433013 0.827836 
0.101	0 0 0.346211 0.433013 0.827837 1 1 1.15379 0.433013 0.827837 
0.102	0 0 0.346247 0.433013 0.827837 1 1 1.15375 0.433013 0.827837 
0.103	0 0 0.346282 0.433013 0.827838 1 1 1.15372 0.433013 0.827838 
0.104	0 0 0.346316 0.433013 0.827839 1 1 1.15368 0.433013 0.827839 
0.105	0 0 0.346348 0.433013 0.827839 1 1 1.15365 0.433013 0.827839 
0.106	0 0 0.34638 0.433013 0.82784 1 1 1.15362 0.433013 0.82784 
0.107	0 0 0.34641 0.433013 0.827841 1 1 1.15359 0.433013 0.827841 
0.108	0 0 0.346439 0.433013 0.827842 1 1 1.15356 0.433013 0.827842 
0.109	0 0 0.346467 0.433013 0.827843 1 1 1.15353 0.433013 0.827843 
0.11	0 0 0.346493 0.433013 0.827844 1 1 1.15351 0.433013 0.827844 
0.111	0 0 0.346519 0.433013 0.827845 1 1 1.15348 0.433013 0.827845 
0.112	0 0 0.346544 0.433013 0.827846 1 1 1.15346 0.433013 0.827846 
0.113	0 0 0.346567 0.433013 0.827847 1 1 1.15343 0.433013 0.827847 
0.114	0 0 0.34659 0.433013 0.827848 1 1 1.15341 0.433013 0.827848 
0.115	0 0 0.346611 0.433013 0.827849 1 1 1.15339 0.433013 0.827849 
0.116	0 0 0.346632 0.433013 0.82785 1 1 1.15337 0.433013 0.82785 
0.117	0 0 0.346651 0.433013 0.827852 1 1 1.15335 0.433013 0.827852 
0.118	0 0 0.34667 0.433013 0.827853 1 1 1.15333 0.433013 0.827853 
0.119	0 0 0.346688 0.433013 0.827854 1 1 1.15331 0.433013 0.827854 
0.12	0 0 0.346705 0.433013 0.827856 1 1 1.1533 0.433013 0.827856 
0.121	0 0 0.346721 0.433013 0.827857 1 1 1.15328 0.433013 0.827857 
0.122	0 0 0.346736 0.433013 0.827859 1 1 1.15326 0.433013 0.827859 
0.123	0 0 0.34675 0.433013 0.827861 1 1 1.15325 0.433013 0.827861 
0.124	0 0 0.346764 0.433013 0.827862 1 1 1.15324 0.433013 0.827862 
0.125	0 0 0.346776 0.433013 0.827864 1 1 1.15322 0.433013 0.827864 
0.126	0 0 0.346788 0.433013 0.827866 1 1 1.15321 0.433013 0.827866 
0.127	0 0 0.3468 0.433013 0.827868 1 1 1.1532 0.433013 0.827868 
0.128	0 0 0.34681 0.433013 0.82787 1 1 1.15319 0.433013 0.82787 
0.129	0 0 0.34682 0.433013 0.827872 1 1 1.15318 0.433013 0.827872 
0.13	0 0 0.346829 0.433013 0.827874 1 1 1.15317 0.433013 0.827874 
0.131	0 0 0.346837 0.433013 0.827876 1 1 1.15316 0.433013 0.827876 
0.132	0 0 0.346845 0.433013 0.827878 1 1 1.15316 0.433013 0.827878 
