0.03	0 0 0.364876 0.433013 0.834184 1 1 1.13512 0.433013 0.834184 
0.031	0 0 0.365411 0.433013 0.83618 1 1 1.13459 0.433013 0.83618 
0.032	0 0 0.36596 0.433013 0.837968 1 1 1.13404 0.433013 0.837968 
0.033	0 0 0.366518 0.433013 0.839569 1 1 1.13348 0.433013 0.839569 
0.034	0 0 0.367085 0.433013 0.841001 1 1 1.13292 0.433013 0.841001 
0.035	0 0 0.367656 0.433013 0.842282 1 1 1.13234 0.433013 0.842282 
0.036	0 0 0.368231 0.433013 0.843427 1 1 1.13177 0.433013 0.843427 
0.037	0 0 0.368807 0.433013 0.84445 1 1 1.13119 0.433013 0.84445 
0.038	0 0 0.369383 0.433013 0.845364 1 1 1.13062 0.433013 0.845364 
0.039	0 0 0.369957 0.433013 0.846179 1 1 1.13004 0.433013 0.846179 
0.04	0 0 0.370528 0.433013 0.846907 1 1 1.12947 0.433013 0.846907 
0.041	0 0 0.371095 0.433013 0.847556 1 1 1.1289 0.433013 0.847556 
0.042	0 0 0.371658 0.433013 0.848134 1 1 1.12834 0.433013 0.848134 
0.043	0 0 0.372215 0.433013 0.848649 1 1 1.12779 0.433013 0.848649 
0.044	0 0 0.372765 0.433013 0.849108 1 1 1.12723 0.433013 0.849108 
0.045	0 0 0.373309 0.433013 0.849516 1 1 1.12669 0.433013 0.849516 
0.046	0 0 0.373845 0.433013 0.849879 1 1 1.12615 0.433013 0.849879 
0.047	0 0 0.374373 0.433013 0.850201 1 1 1.12563 0.433013 0.850201 
0.048	0 0 0.374893 0.433013 0.850487 1 1 1.12511 0.433013 0.850487 
0.049	0 0 0.375405 0.433013 0.850741 1 1 1.1246 0.433013 0.850741 
0.05	0 0 0.375908 0.433013 0.850966 1 1 1.12409 0.433013 0.850966 
0.051	0 0 0.376402 0.433013 0.851165 1 1 1.1236 0.433013 0.851165 
0.052	0 0 0.376887 0.433013 0.851341 1 1 1.12311 0.433013 0.851341 
0.053	0 0 0.377363 0.433013 0.851496 1 1 1.12264 0.433013 0.851496 
0.054	0 0 0.377829 0.433013 0.851633 1 1 1.12217 0.433013 0.851633 
0.055	0 0 0.378287 0.433013 0.851754 1 1 1.12171 0.433013 0.851754 
0.056	0 0 0.378735 0.433013 0.85186 1 1 1.12126 0.433013 0.85186 
0.057	0 0 0.379175 0.433013 0.851952 1 1 1.12083 0.433013 0.851952 
0.058	0 0 0.379605 0.433013 0.852033 1 1 1.1204 0.433013 0.852033 
0.059	0 0 0.380026 0.433013 0.852104 1 1 1.11997 0.433013 0.852104 
0.06	0 0 0.380438 0.433013 0.852165 1 1 1.11956 0.433013 0.852165 
0.061	0 0 0.380841 0.433013 0.852218 1 1 1.11916 0.433013 0.852218 
0.062	0 0 0.381235 0.433013 0.852264 1 1 1.11876 0.433013 0.852264 
0.063	0 0 0.381621 0.433013 0.852304 1 1 1.11838 0.433013 0.852304 
0.064	0 0 0.381998 0.433013 0.852337 1 1 1.118 0.433013 0.852337 
0.065	0 0 0.382367 0.433013 0.852365 1 1 1.11763 0.433013 0.852365 
0.066	0 0 0.382728 0.433013 0.852389 1 1 1.11727 0.433013 0.852389 
0.067	0 0 0.38308 0.433013 0.852409 1 1 1.11692 0.433013 0.852409 
0.068	0 0 0.383424 0.433013 0.852425 1 1 1.11658 0.433013 0.852425 
0.069	0 0 0.383761 0.433013 0.852438 1 1 1.11624 0.433013 0.852438 
0.07	0 0 0.384089 0.433013 0.852448 1 1 1.11591 0.433013 0.852448 
0.071	0 0 0.38441 0.433013 0.852455 1 1 1.11559 0.433013 0.852455 
0.072	0 0 0.384724 0.433013 0.852461 1 1 1.11528 0.433013 0.852461 
0.073	0 0 0.38503 0.433013 0.852464 1 1 1.11497 0.433013 0.852464 
0.074	0 0 0.385329 0.433013 0.852466 1 1 1.11467 0.433013 0.852466 
0.075	0 0 0.385621 0.433013 0.852466 1 1 1.11438 0.433013 0.852466 
0.076	0 0 0.385907 0.433013 0.852465 1 1 1.11409 0.433013 0.852465 
0.077	0 0 0.386185 0.433013 0.852463 1 1 1.11382 0.433013 0.852463 
0.078	0 0 0.386457 0.433013 0.85246 1 1 1.11354 0.433013 0.85246 
0.079	0 0 0.386722 0.433013 0.852455 1 1 1.11328 0.433013 0.852455 
0.08	0 0 0.386981 0.433013 0.852451 1 1 1.11302 0.433013 0.852451 
0.081	0 0 0.387234 0.433013 0.852445 1 1 1.11277 0.433013 0.852445 
0.082	0 0 0.387481 0.433013 0.852439 1 1 1.11252 0.433013 0.852439 
0.083	0 0 0.387722 0.433013 0.852433 1 1 1.11228 0.433013 0.852433 
0.084	0 0 0.387957 0.433013 0.852426 1 1 1.11204 0.433013 0.852426 
