0.042	0 0.371658 0.433013 1.68844 1 1.12834 0.433013 1.82053 
0.043	0 0.372215 0.433013 1.68944 1 1.12779 0.433013 1.82153 
0.044	0 0.372765 0.433013 1.69044 1 1.12723 0.433013 1.82253 
0.045	0 0.373309 0.433013 1.69144 1 1.12669 0.433013 1.82353 
0.046	0 0.373845 0.433013 1.69244 1 1.12615 0.433013 1.82453 
0.047	0 0.374373 0.433013 1.69344 1 1.12563 0.433013 1.82553 
0.048	0 0.374893 0.433013 1.69444 1 1.12511 0.433013 1.82653 
0.049	0 0.375405 0.433013 1.69544 1 1.1246 0.433013 1.82753 
0.05	0 0.375908 0.433013 1.69644 1 1.12409 0.433013 1.82853 
0.051	0 0.376402 0.433013 1.69744 1 1.1236 0.433013 1.82953 
0.052	0 0.376887 0.433013 1.69844 1 1.12311 0.433013 1.83053 
0.053	0 0.377363 0.433013 1.69944 1 1.12264 0.433013 1.83153 
0.054	0 0.377829 0.433013 1.70044 1 1.12217 0.433013 1.83253 
0.055	0 0.378287 0.433013 1.70144 1 1.12171 0.433013 1.83353 
0.056	0 0.378735 0.433013 1.70244 1 1.12126 0.433013 1.83453 
0.057	0 0.379175 0.433013 1.70344 1 1.12083 0.433013 1.83553 
0.058	0 0.379605 0.433013 1.70444 1 1.1204 0.433013 1.83653 
0.059	0 0.380026 0.433013 1.70544 1 1.11997 0.433013 1.83753 
0.06	0 0.380438 0.433013 1.70644 1 1.11956 0.433013 1.83853 
0.061	0 0.380841 0.433013 1.70744 1 1.11916 0.433013 1.83953 
0.062	0 0.381235 0.433013 1.70844 1 1.11876 0.433013 1.84053 
0.063	0 0.381621 0.433013 1.70944 1 1.11838 0.433013 1.84153 
0.064	0 0.381998 0.433013 1.71044 1 1.118 0.433013 1.84253 
0.065	0 0.382367 0.433013 1.71144 1 1.11763 0.433013 1.84353 
0.066	0 0.382728 0.433013 1.71244 1 1.11727 0.433013 1.84453 
0.067	0 0.38308 0.433013 1.71344 1 1.11692 0.433013 1.84553 
0.068	0 0.383424 0.433013 1.71444 1 1.11658 0.433013 1.84653 
0.069	0 0.383761 0.433013 1.71544 1 1.11624 0.433013 1.84753 
0.07	0 0.384089 0.433013 1.71644 1 1.11591 0.433013 1.84853 
0.071	0 0.38441 0.433013 1.71744 1 1.11559 0.433013 1.84953 
0.072	0 0.384724 0.433013 1.71844 1 1.11528 0.433013 1.85053 
0.073	0 0.38503 0.433013 1.71944 1 1.11497 0.433013 1.85153 
0.074	0 0.385329 0.433013 1.72044 1 1.11467 0.433013 1.85253 
0.075	0 0.385621 0.433013 1.72144 1 1.11438 0.433013 1.85353 
0.076	0 0.385907 0.433013 1.72244 1 1.11409 0.433013 1.85453 
0.077	0 0.386185 0.433013 1.72344 1 1.11382 0.433013 1.85553 
0.078	0 0.386457 0.433013 1.72444 1 1.11354 0.433013 1.85653 
0.079	0 0.386722 0.433013 1.72544 1 1.11328 0.433013 1.85753 
0.08	0 0.386981 0.433013 1.72644 1 1.11302 0.433013 1.85853 
0.081	0 0.387234 0.433013 1.72744 1 1.11277 0.433013 1.85953 
0.082	0 0.387481 0.433013 1.72844 1 1.11252 0.433013 1.86053 
0.083	0 0.387722 0.433013 1.72944 1 1.11228 0.433013 1.86153 
0.084	0 0.387957 0.433013 1.73044 1 1.11204 0.433013 1.86253 
0.085	0 0.388187 0.433013 1.73144 1 1.11181 0.433013 1.86353 
0.086	0 0.388411 0.433013 1.73244 1 1.11159 0.433013 1.86453 
0.087	0 0.388629 0.433013 1.73344 1 1.11137 0.433013 1.86553 
0.088	0 0.388843 0.433013 1.73444 1 1.11116 0.433013 1.86653 
0.089	0 0.389051 0.433013 1.73544 1 1.11095 0.433013 1.86753 
0.09	0 0.389254 0.433013 1.73644 1 1.11075 0.433013 1.86853 
0.091	0 0.389452 0.433013 1.73744 1 1.11055 0.433013 1.86953 
0.092	0 0.389645 0.433013 1.73844 1 1.11035 0.433013 1.87053 
0.093	0 0.389834 0.433013 1.73944 1 1.11017 0.433013 1.87153 
0.094	0 0.390018 0.433013 1.74044 1 1.10998 0.433013 1.87253 
0.095	0 0.390198 0.433013 1.74144 1 1.1098 0.433013 1.87353 
0.096	0 0.390373 0.433013 1.74244 1 1.10963 0.433013 1.87453 
0.097	0 0.390543 0.433013 1.74344 1 1.10946 0.433013 1.87553 
0.098	0 0.39071 0.433013 1.74444 1 1.10929 0.433013 1.87653 
0.099	0 0.390873 0.433013 1.74544 1 1.10913 0.433013 1.87753 
0.1	0 0.391031 0.433013 1.74644 1 1.10897 0.433013 1.87853 
0.101	0 0.391186 0.433013 1.74744 1 1.10881 0.433013 1.87953 
0.102	0 0.391337 0.433013 1.74844 1 1.10866 0.433013 1.88053 
0.103	0 0.391484 0.433013 1.74944 1 1.10852 0.433013 1.88153 
0.104	0 0.391627 0.433013 1.75044 1 1.10837 0.433013 1.88253 
0.105	0 0.391767 0.433013 1.75144 1 1.10823 0.433013 1.88353 
0.106	0 0.391904 0.433013 1.75244 1 1.1081 0.433013 1.88453 
0.107	0 0.392037 0.433013 1.75344 1 1.10796 0.433013 1.88553 
0.108	0 0.392166 0.433013 1.75444 1 1.10783 0.433013 1.88653 
0.109	0 0.392293 0.433013 1.75544 1 1.10771 0.433013 1.88753 
0.11	0 0.392416 0.433013 1.75644 1 1.10758 0.433013 1.88853 
0.111	0 0.392536 0.433013 1.75744 1 1.10746 0.433013 1.88953 
0.112	0 0.392654 0.433013 1.75844 1 1.10735 0.433013 1.89053 
0.113	0 0.392768 0.433013 1.75944 1 1.10723 0.433013 1.89153 
0.114	0 0.392879 0.433013 1.76044 1 1.10712 0.433013 1.89253 
0.115	0 0.392988 0.433013 1.76144 1 1.10701 0.433013 1.89353 
0.116	0 0.393094 0.433013 1.76244 1 1.10691 0.433013 1.89453 
0.117	0 0.393197 0.433013 1.76344 1 1.1068 0.433013 1.89553 
0.118	0 0.393297 0.433013 1.76444 1 1.1067 0.433013 1.89653 
0.119	0 0.393395 0.433013 1.76544 1 1.1066 0.433013 1.89753 
0.12	0 0.393491 0.433013 1.76644 1 1.10651 0.433013 1.89853 
0.121	0 0.393584 0.433013 1.76744 1 1.10642 0.433013 1.89953 
0.122	0 0.393675 0.433013 1.76844 1 1.10633 0.433013 1.90053 
0.123	0 0.393763 0.433013 1.76944 1 1.10624 0.433013 1.90153 
0.124	0 0.393849 0.433013 1.77044 1 1.10615 0.433013 1.90253 
0.125	0 0.393933 0.433013 1.77144 1 1.10607 0.433013 1.90353 
0.126	0 0.394015 0.433013 1.77244 1 1.10599 0.433013 1.90453 
0.127	0 0.394094 0.433013 1.77344 1 1.10591 0.433013 1.90553 
0.128	0 0.394172 0.433013 1.77444 1 1.10583 0.433013 1.90653 
0.129	0 0.394247 0.433013 1.77544 1 1.10575 0.433013 1.90753 
0.13	0 0.394321 0.433013 1.77644 1 1.10568 0.433013 1.90853 
0.131	0 0.394393 0.433013 1.77744 1 1.10561 0.433013 1.90953 
0.132	0 0.394462 0.433013 1.77844 1 1.10554 0.433013 1.91053 
0.133	0 0.39453 0.433013 1.77944 1 1.10547 0.433013 1.91153 
0.134	0 0.394596 0.433013 1.78044 1 1.1054 0.433013 1.91253 
0.135	0 0.394661 0.433013 1.78144 1 1.10534 0.433013 1.91353 
0.136	0 0.394724 0.433013 1.78244 1 1.10528 0.433013 1.91453 
0.137	0 0.394785 0.433013 1.78344 1 1.10522 0.433013 1.91553 
0.138	0 0.394844 0.433013 1.78444 1 1.10516 0.433013 1.91653 
0.139	0 0.394902 0.433013 1.78544 1 1.1051 0.433013 1.91753 
0.14	0 0.394958 0.433013 1.78644 1 1.10504 0.433013 1.91853 
0.141	0 0.395013 0.433013 1.78744 1 1.10499 0.433013 1.91953 
0.142	0 0.395066 0.433013 1.78844 1 1.10493 0.433013 1.92053 
0.143	0 0.395118 0.433013 1.78944 1 1.10488 0.433013 1.92153 
0.144	0 0.395169 0.433013 1.79044 1 1.10483 0.433013 1.92253 
0.145	0 0.395218 0.433013 1.79144 1 1.10478 0.433013 1.92353 
0.146	0 0.395265 0.433013 1.79244 1 1.10473 0.433013 1.92453 
0.147	0 0.395312 0.433013 1.79344 1 1.10469 0.433013 1.92553 
0.148	0 0.395357 0.433013 1.79444 1 1.10464 0.433013 1.92653 
0.149	0 0.395401 0.433013 1.79544 1 1.1046 0.433013 1.92753 
0.15	0 0.395444 0.433013 1.79644 1 1.10456 0.433013 1.92853 
0.151	0 0.395485 0.433013 1.79744 1 1.10451 0.433013 1.92953 
0.152	0 0.395525 0.433013 1.79844 1 1.10447 0.433013 1.93053 
0.153	0 0.395565 0.433013 1.79944 1 1.10444 0.433013 1.93153 
0.154	0 0.395603 0.433013 1.80044 1 1.1044 0.433013 1.93253 
